1234;4;bici;braga;33.00;200.00;130.25;1685041693;1685043256
1234;4;bici;braga;33.00;200.00;51.42;1685041059;1685041676
1234;2;ppppp;lllll;11.00;20.00;0.20;1685041665;1685041671
1234;4;bici;braga;33.00;200.00;3.00;1685039761;1685039797
1234;3;ggggg;jjjj;1233.00;44.00;1.45;1685039767;1685039796
1234;2;ppppp;lllll;11.00;20.00;1.00;1685039763;1685039793
1234;1;ttttt;aaaa;123.00;44.00;1.30;1685039765;1685039791
1234;2;ppppp;lllll;11.00;20.00;4.37;1685039351;1685039482
1234;2;ppppp;lllll;11.00;20.00;0.13;1685022905;1685022909
1234;1;ttttt;aaaa;123.00;44.00;0.30;1685138028;1685138034
